Artist,Album,Listed,Spotify URL,Spotify Streamable,Rdio URL,Rdio Streamable
ANIMAL COLLECTIVE,Merriweather Post Pavilion,1,,False,http://rdio.com/artist/Animal_Collective/album/Merriweather_Post_Pavilion/,True
Bachelorette,My Electric Family,1,,False,,False
Superdrag,Industry Giants,1,,False,http://rdio.com/artist/Superdrag/album/Industry_Giants/,False
Cindytalk,Up Here In The Clouds,1,spotify:album:2VItVPIFACe5O0pd7Uzkx5,True,,False
The Travelling Band,Under The Pavement,1,spotify:album:634uNebZnlEO8if91azOwf,True,http://rdio.com/artist/The_Travelling_Band/album/Under_The_Pavement/,True
DJ/Rupture,Uproot,1,,False,http://rdio.com/artist/Various_Artists/album/Uproot/,True
Jeff Buckley,Grace,1,spotify:album:6lo0ndbssQu7cPHIYFclvk,False,http://rdio.com/artist/Jeff_Buckley/album/Grace_2/,True
Ricardo Lemvo,Isabela,1,spotify:album:1PbSFz8GD9qPZ5biAprvOG,True,,False
Amanda Palmer,Who Killed Amanda Palmer,1,spotify:album:5r6oLEnKX3u8vcda1bN57M,True,http://rdio.com/artist/Amanda_Palmer/album/Who_Killed_Amanda_Palmer_1/,True
Wolves In The Throne Room,Two Hunters,1,spotify:album:14bPDAXgasRtZENgJaGIdP,True,http://rdio.com/artist/Wolves_In_The_Throne_Room/album/Two_Hunters/,True
Rosanne Cash,The List,1,spotify:album:2ztJpdxupEltRgGuzihTJb,True,http://rdio.com/artist/Rosanne_Cash/album/The_List_1/,True
Kort (Kurt Wagner & Cortney Tidwell),Invariable Heartache,1,,False,http://rdio.com/artist/Kurt_Wagner__Cortney_Tidwell_present...KORT/album/Invariable_Heartache/,True
URBAN TRIBE,Urban Tribe,1,,False,http://rdio.com/artist/Anne_Ducros/album/Urban_Tribe/,False
Dig,Electric Toys,1,,False,http://rdio.com/artist/The_Dig/album/Electric_Toys/,True
Svart Crown,Witnessing the Fall,1,spotify:album:7sIuS9rc6TF2uRUkkiEjqF,False,,False
Lights,Lights,1,,False,http://rdio.com/artist/Ellie_Goulding/album/Lights_1/,True
Santogold & Diplo,Top Ranking,1,,False,,False
Boris & Ian Astbury,BXI EP,1,,False,,False
Demians,Mute,1,,False,http://rdio.com/artist/Demians/album/Mute/,True
Eric Malmberg,Verklighet och beat,1,,False,,False
Forest of Stars,Opportunistic Thieves of Spring,1,,False,http://rdio.com/artist/A_Forest_of_Stars/album/Opportunistic_Thieves_of_Spring/,True
The Radio Dept.,Clinging To A Scheme,1,spotify:album:6JPRvwSakxGHjMQM18AcAu,True,http://rdio.com/artist/The_Radio_Dept./album/Clinging_To_A_Scheme/,False
D.D. Denham,Electronic Music in the Classroom,1,,False,,False
Dredg,"The Pariah, the Parrot, the Delusion",1,,False,,False
The Unravelling,13 Arcane Hymns,1,,False,,False
Blackbird Blackbird,Happy High,1,,False,,False
Dananananaykroyd,Hey Everyone,1,,False,http://rdio.com/artist/Dananananaykroyd/album/Hey_Everyone/,True
J. Tillman,Year in the Kingdom,1,,False,,False
I Awake,The Core,1,spotify:album:42Gc4AlrPrMYtJBHHugx2u,True,,False
Yann Tiersen,Tabarly,1,,False,,False
Christina Aguilera,Bionic,1,spotify:album:7FzaavfW32NktJa8XLTcEc,True,http://rdio.com/artist/Christina_Aguilera/album/Bionic_2/,True
ENSEMBLE ECONOMIQUE,Psychical,1,,False,,False
Miles Benjamin Anthony Robinson,Miles Benjamin Anthony Robinson,1,spotify:album:4hAbfF6blncEuEC43yzsfP,True,http://rdio.com/artist/Miles_Benjamin_Anthony_Robinson/album/Miles_Benjamin_Anthony_Robinson_1/,True
Closure in Moscow,First Temple,1,spotify:album:5o95a7y2gvTsEgPl6hmu9a,True,http://rdio.com/artist/Closure_In_Moscow/album/First_Temple/,True
Andy Palacio & The Garifuna Collective,WÃ¡tina,1,,False,,False
Manic Street Preachers,Postcards from a Young Man,1,,False,,False
RICCARDO PRENCIPEâS CORDE OBLIQUE,The Stones Of Naples,1,,False,,False
Cocoon,My Friends All Died In A Plane Crash,1,,False,,False
65daysofstatic,The Destruction of Small Ideas,1,,False,,False
Franz Bretschneider,EXP,1,,False,http://rdio.com/artist/Frank_Bretschneider/album/EXP/,True
CHILLY GONZALES,Ivory Tower,1,,False,http://rdio.com/artist/Chilly_Gonzales/album/Ivory_Tower/,True
Besnard Lakes,Besnard Lakes Are the Roaring Night,1,,False,,False
Lucky Dragons,Dream Island Laughing Language,1,spotify:album:6NNvTRg6KUWQpRKj3V9QaJ,True,http://rdio.com/artist/Lucky_Dragons/album/Dream_Island_Laughing_Language/,True
Extra Golden,Hera Ma Nono,1,spotify:album:0HmUQ7nBBzFXsV0GhUbDkh,True,,False
"Wyatt, Atzmon, Stephen",For The Ghosts Within,1,spotify:album:6FcZ2ZDDnMbWIIPYmbMXpv,True,http://rdio.com/artist/Wyatt%2C_Atzmon%2C_Stephen/album/For_The_Ghosts_Within/,True
